state,mu1,std1,mu2,std2
1,7.743756872938123,7.286062278246271,0.4144989836382451,0.4258829512031074
2,5.298726114649681,3.7134960189179824,0.8172277828328782,1.0508462636895612
4,7.569978579667163,6.379113970369325,0.5101691657054995,0.3713144377647823
5,7.216982773621038,6.867384951945877,0.4308334783365162,0.44306233007257767
6,8.215782913938634,6.304391469815876,0.5536178380794616,0.4131925263031821
8,8.671048951048949,7.162117399943491,0.4684781884781897,0.38798486154024064
9,8.458673469387767,6.656749722308779,0.5061389071757694,0.446393312888908
10,7.84685936631462,6.745486487206314,0.49325551232166054,0.5222829068586484
11,7.489391796322491,6.550898723135047,0.5204148986327196,0.38546699001016627
12,7.784861280358198,6.659185017979873,0.4527569170894026,0.4132592504260681
13,7.578548362294313,6.272774989065986,0.45879166880243427,0.3878033865735274
15,7.360697359512515,5.630468716531352,0.6072895508914503,0.6334783282987314
16,8.617724288840265,7.663686213626753,0.45373554235698405,0.5060459051992485
17,8.668711871845522,7.4121393261153425,0.4485290029990455,0.37983593455065917
18,8.586665534227969,7.361445209063225,0.42227223826509935,0.4547806539605879
19,9.085233824471493,8.13926675169524,0.3436258808456118,0.3409716725932832
20,8.604820333041213,7.772083350846088,0.39122407245106366,0.3442018212533676
21,8.42178709321566,6.4013008519241925,0.3835815407243989,0.4883550142329094
22,7.215514369012916,6.708340366949224,0.4262980702485036,0.409158854639419
23,6.786108127461513,5.43674139777143,0.5241914309583481,0.5136735075853273
24,8.652884615384599,6.974268955552775,0.5093602825745688,0.45981656872651083
25,8.454426495803629,7.066505281391183,0.49057245134313954,0.40009258540586445
26,9.036516715223943,8.005629233353583,0.37296100604084986,0.4158740295947294
27,9.640339500286094,8.296109861485842,0.3728781232119034,0.33704337933134165
28,7.375758569788416,7.567071011547017,0.3835219506861297,0.41513240924367306
29,8.16417302357836,7.214971767954499,0.38267741562644464,0.343399147788553
30,6.700584007187781,4.866815047736195,0.5761006289308174,0.6927297222735422
31,8.920556856622426,8.29505011897109,0.3970162199670372,0.37159176798992416
32,8.003938324354444,6.644099636473368,0.5002848473589738,0.4152463046738409
33,8.06387520525451,6.157109703333979,0.5273535851122088,0.4199742322879945
34,8.346418659970944,6.537400619650571,0.526580326857844,0.44078022994116073
35,6.308688245315161,4.687003937537227,0.675403585625052,0.3492055321568994
36,7.14477514487037,5.348510274329257,0.6241486882317167,0.4783699632652555
37,7.44051148395503,6.202151436978728,0.5257551899513209,0.5370006822586367
38,7.906175920149714,6.552176727113925,0.4226034518610988,0.4542239429100766
39,8.664560352262928,7.133497623811268,0.4212432097084113,0.44846296061541213
40,7.188900823487294,6.010736750501752,0.48418267891952144,0.4400806396095449
41,8.512572004608309,6.943837504399791,0.45457469278033696,0.4137030389016767
42,8.359330948874383,6.9495278464926,0.5011655796339195,0.5403215996634085
44,7.676060267857138,6.541422277642781,0.5233258928571435,0.4695969862589443
45,7.282971692917738,6.0116312579484275,0.46137606931746483,0.45854590792749145
46,7.679608772969769,6.642993042304283,0.5275439636435492,0.5522525552311239
47,7.914387876724001,6.9507201550078355,0.47689142403087087,0.5638935855547418
48,7.200206672571603,5.595433477448148,0.541958046873901,0.41131613714191995
49,8.971286121286118,7.702613447162318,0.4558201058201038,0.36251850794858703
50,6.914211695040711,5.28047543585989,0.5998766345916613,0.6428145561147779
51,8.747999469179238,7.885294062809982,0.4737243713091256,0.48565346820966626
53,8.798227498170592,7.0958802743487945,0.48611269208878227,0.41479298384768193
54,6.400969855832237,4.4606986391176315,0.5567758846657922,0.9790358586941252
55,9.19000093799833,8.514437209831549,0.3591282869024123,0.35790945988252393
56,6.629739442946992,4.777112607374656,0.6567235699311162,0.8157945752224988
